province,municipality,name,id,lon,lat,zone,ptmx,ptmy
ABRA,PEÃARRUBIA,"BLLM No. 1, Municipality of PeÃ±arrubia, Province of Abra",3199,120.6524611,17.56636667,3,463106.1212,1942807.428
ABRA,VILLAVICIOSA,"BLBM No. 2, Bo. of Callao Tuquib, Municipality of Villaviciosa, Province of Abra",3266,120.6257965,17.42281219,3,460244.2462,1926926.331
AGUSAN DEL NORTE,NASIPIT,"BBM No. 15, Cad 169, Nasipit Cadastre",72365,125.3084306,8.981685806,5A,533914.9675,993126.7317
AGUSAN DEL NORTE,BUTUAN,"BLBM No. 2, Bo. of Magallanes, Municipality of Butuan, Province of Agusan (Butuan System)",73222,125.5178085,9.020837104,5A,556932.4751,997482.5277
AGUSAN DEL SUR,TALACOGON,"BLLM No. 1, Pls 750, Talacogon Public Land Subdivision",73148,125.7837024,8.457154277,5A,586298.2375,935192.6592
AGUSAN DEL SUR,BUNAWAN,"AGS 3133, PRS 92",72663,126.0236206,8.109887032,5A,612818.3433,896845.4908
AKLAN,KALIBO,"AKN 1, PRS 92",48323,122.3665751,11.70805339,4,430946.3021,1294720.981
AKLAN,BALETE,"MBM No. 15, Psc 34, Balete Cadastre",47981,122.4054186,11.53241167,4,435140.4161,1275283.558
ALBAY,LIGAO,"BLLM No. 60, Cad 239, Ligao Cadastre",49720,123.6334423,13.28593185,4,568638.0242,1469266.686
ALBAY,BACACAY,"BBM No. 46, Pls 722 D, Bacacay Public Land Subdivision",48885,123.783226,13.28259123,4,584870.1417,1468943.228
ANTIQUE,SAN JOSE,"BBM No. 3, Cad 216, San Jose Cadastre",3548,121.9374595,10.7597998,3,602535.1236,1189919.189
ANTIQUE,PANDAN,"ATQ 13, PRS 92",50458,122.1006769,11.68379726,4,401948.6298,1292116.448
APAYAO,KABUGAO,"APA 3192, PRS 92",3660,121.2023074,17.99881291,3,521424.7751,1990642.644
APAYAO,CONNER,"APA 3397, PRS 92",3635,121.3722289,17.68897711,3,539488.2466,1956381.28
AURORA,MARIA AURORA,"BBM No. 66, Cad 921 D, Maria Aurora Cadastre",3958,121.4319238,15.76670632,3,546282.65,1743681.16
AURORA,DILASAG,"BLLM No. 7, Cad 930 D, Dilasag Cadastre",50660,122.0985381,16.31790777,4,403666.7399,1804835.74
BASILAN,LAMITAN,"BLLM No. 10, Cad 74, Lamitan Cadastre",45053,122.1718196,6.628041445,4A,408419.8822,732916.9115
BASILAN,LAMITAN,"BLLM No. 18, Cad 74, Lamitan Cadastre",45061,122.1424354,6.641225421,4A,405172.8705,734380.4297
BATAAN,BAGAC,"BLLM No. 14, Cad 244, Bagac Cadastre",4239,120.4011383,14.60993956,3,435478.1979,1615735.514
BATAAN,MARIVELES,"BTN 3127, PRS 92",4664,120.5022964,14.44286593,3,446337.0387,1597224.846
BATANES,BASCO,"BTS 3008, PRS 92",5048,121.9846906,20.45755907,3,602744.2894,2263082.627
BATANES,UYUGAN,"BTS 3020, PRS 92",5095,121.933338,20.36588323,3,597443.3667,2252901.884
BATANGAS,CALATAGAN,"S 55, Municipality of Calatagan, Province of Batangas",5881,120.6427558,13.87475359,3,461385.8748,1534345.943
BATANGAS,STA. TERESITA,"BBM No. 60, Cad 721 D, Sta. Teresita Cadastre",7543,120.9826588,13.86385425,3,498125.53,1533111.39
